,fixture.id,fixture.date,league.round,league.season,home.id,score.home,away.id,score.away,winner,team.id,team.name,home.name,away.name,BP,BS,CK,Fouls,GkS,O,P%,PAc,RC,SI,SoffG,SonG,Soutb,TS,TP,YC,GA,GS,PK,TkT,TkB,TkI,DT,DW,DrA,DrS,DrP,FDr,PyW,PyC,PySc,PyM,PyS,RD,RF,RM
6764,94489,2019-05-02T22:15:00+00:00,2,2019,128,2.0,124,1.0,2.0,124,Fluminense,Santos,Fluminense,58.0,1.0,1.0,14.0,8.0,3.0,85.0,441.0,,5.0,5.0,4.0,5.0,10.0,517.0,2.0,1.0,8.0,9.0,9.0,1.0,8.0,120.0,68.0,29.0,19.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,7.1,6.975,6.6000000000000005
6765,94487,2019-05-02T00:30:00+00:00,2,2019,151,1.0,126,2.0,0.0,126,Sao Paulo,Goias,Sao Paulo,53.0,2.0,10.0,12.0,1.0,1.0,87.0,376.0,1.0,8.0,7.0,5.0,6.0,14.0,433.0,2.0,2.0,1.0,11.0,11.0,4.0,8.0,116.0,63.0,25.0,21.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,6.616666666666667,7.166666666666667,7.0
6766,94488,2019-05-01T19:00:00+00:00,2,2019,119,2.0,127,1.0,2.0,127,Flamengo,Internacional,Flamengo,55.0,5.0,5.0,10.0,5.0,3.0,82.0,422.0,,6.0,1.0,5.0,5.0,11.0,514.0,2.0,1.0,5.0,9.0,14.0,4.0,11.0,109.0,57.0,13.0,8.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,6.98,6.466666666666666,6.833333333333333
6767,94489,2019-05-02T22:15:00+00:00,2,2019,128,2.0,124,1.0,2.0,128,Santos,Santos,Fluminense,42.0,1.0,6.0,25.0,3.0,1.0,82.0,308.0,,16.0,11.0,10.0,6.0,22.0,377.0,3.0,0.0,3.0,14.0,9.0,1.0,10.0,120.0,52.0,22.0,16.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,6.783333333333334,7.300000000000001,6.75
6768,94484,2019-05-01T22:15:00+00:00,2,2019,135,1.0,129,0.0,2.0,129,Ceara,Cruzeiro,Ceara,42.0,6.0,3.0,12.0,3.0,2.0,82.0,348.0,,7.0,4.0,4.0,7.0,14.0,425.0,,0.0,3.0,11.0,11.0,4.0,6.0,100.0,54.0,15.0,9.0,8.0,9.0,0.0,0.0,0.0,1.0,1.0,6.859999999999999,6.5,6.733333333333333
6769,94481,2019-05-01T22:15:00+00:00,2,2019,145,1.0,130,1.0,1.0,130,Gremio,Avai,Gremio,57.0,1.0,4.0,17.0,3.0,,81.0,403.0,,2.0,1.0,2.0,2.0,4.0,500.0,3.0,1.0,3.0,3.0,13.0,2.0,13.0,142.0,67.0,20.0,13.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,6.825,6.466666666666666,6.742857142857143
6770,94483,2019-05-01T19:00:00+00:00,2,2019,131,1.0,132,0.0,2.0,131,Corinthians,Corinthians,Chapecoense-SC,51.0,6.0,7.0,14.0,1.0,1.0,82.0,349.0,,4.0,2.0,4.0,8.0,12.0,427.0,2.0,0.0,1.0,8.0,16.0,4.0,5.0,146.0,72.0,23.0,13.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,7.32,6.45,6.814285714285715
6771,94483,2019-05-01T19:00:00+00:00,2,2019,131,1.0,132,0.0,2.0,132,Chapecoense-SC,Corinthians,Chapecoense-SC,49.0,4.0,2.0,10.0,3.0,1.0,79.0,322.0,,3.0,5.0,1.0,7.0,10.0,409.0,1.0,0.0,3.0,8.0,18.0,6.0,12.0,146.0,74.0,15.0,7.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,6.557142857142857,6.55,6.833333333333333
6772,94490,2019-05-02T00:30:00+00:00,2,2019,133,1.0,1062,2.0,0.0,133,Vasco DA Gama,Vasco DA Gama,Atletico-MG,50.0,6.0,8.0,12.0,2.0,,84.0,387.0,,10.0,11.0,4.0,11.0,21.0,461.0,,0.0,2.0,13.0,13.0,8.0,9.0,108.0,52.0,15.0,11.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,6.720000000000001,7.2,6.75
6773,94486,2019-05-02T00:30:00+00:00,2,2019,154,2.0,134,1.0,2.0,134,Atletico Paranaense,Fortaleza EC,Atletico Paranaense,64.0,1.0,7.0,19.0,3.0,,90.0,454.0,,3.0,5.0,4.0,7.0,10.0,507.0,3.0,1.0,3.0,9.0,3.0,5.0,6.0,96.0,39.0,12.0,10.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,6.74,6.9,6.585714285714286
6774,94484,2019-05-01T22:15:00+00:00,2,2019,135,1.0,129,0.0,2.0,135,Cruzeiro,Cruzeiro,Ceara,58.0,4.0,2.0,10.0,4.0,1.0,88.0,539.0,,8.0,4.0,4.0,4.0,12.0,614.0,1.0,0.0,4.0,10.0,11.0,5.0,10.0,100.0,46.0,11.0,8.0,9.0,11.0,0.0,1.0,0.0,0.0,1.0,7.56,6.5,6.625
6775,94481,2019-05-01T22:15:00+00:00,2,2019,145,1.0,130,1.0,1.0,145,Avai,Avai,Gremio,43.0,2.0,11.0,15.0,1.0,,73.0,273.0,,7.0,8.0,3.0,6.0,13.0,373.0,4.0,0.0,1.0,11.0,19.0,1.0,23.0,142.0,75.0,21.0,13.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,6.783333333333334,6.8,6.833333333333333
6776,94485,2019-05-01T19:00:00+00:00,2,2019,150,1.0,121,1.0,1.0,150,CSA,CSA,Palmeiras,0.0,,,,,,0.0,,,1.0,,1.0,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.216666666666666,6.3,6.571428571428571
